Volume,Time,Timestamp,Type
87.1,0.2,107.8,Teacher 
88,0.2,108,Teacher 
81.9,0.2,108.2,Teacher 
83.5,0.2,108.4,Teacher 
84.4,0.2,108.6,Teacher 
78.7,0.2,108.8,Teacher 
84.9,0.2,109,Teacher 
78.7,0.2,109.2,Teacher 
78.1,0.2,109.4,Teacher 
78.4,0.2,109.6,Teacher 
87.2,0.2,109.8,Teacher 
84,0.2,110,Teacher 
84.8,0.2,110.2,Student
84.8,0.2,110.4,Student
81.2,0.2,110.6,Student
89,0.2,110.8,Student
85.7,0.2,111,Student
82.6,0.2,111.2,Student
81.4,0.2,111.4,Student
71.4,0.2,111.6,Ambient
63.3,0.2,111.8,Ambient
49.8,0.2,112,Ambient
49,0.2,112.2,Ambient
65.9,0.2,112.4,Ambient
